央视频道,#genre#
辽宁卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225593/index.m3u8
北京卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225502/index.m3u8
东方卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225503/index.m3u8
天津卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225588/index.m3u8
重庆卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225601/index.m3u8
黑龙江卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225594/index.m3u8
吉林卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225598/index.m3u8
河北卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226328/index.m3u8
河南卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226064/index.m3u8
山东卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226326/index.m3u8
湖南卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225506/index.m3u8
湖北卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226322/index.m3u8
广东卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225589/index.m3u8
深圳卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225592/index.m3u8
江苏卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225504/index.m3u8
江西卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225594/index.m3u8
四川卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225600/index.m3u8
陕西卫视,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8

安徽卫视,http://113.64.146.94:2024/hls/66/index.m3u8
辽宁卫视,http://113.64.146.94:2024/hls/67/index.m3u8
北京卫视,http://113.64.146.94:2024/hls/60/index.m3u8
湖南卫视,http://113.64.146.94:2024/hls/56/index.m3u8
江苏卫视,http://113.64.146.94:2024/hls/59/index.m3u8
浙江卫视,http://113.64.146.94:2024/hls/57/index.m3u8
东方卫视,http://113.64.146.94:2024/hls/58/index.m3u8
天津卫视,http://113.64.146.94:2024/hls/69/index.m3u8
山东卫视,http://113.64.146.94:2024/hls/62/index.m3u8
湖北卫视,http://113.64.146.94:2024/hls/68/index.m3u8
黑龙江卫视,http://113.64.146.94:2024/hls/70/index.m3u8
重庆卫视,http://113.64.146.94:2024/hls/71/index.m3u8
贵州卫视,http://113.64.146.94:2024/hls/72/index.m3u8
河北卫视,http://113.64.146.94:2024/hls/73/index.m3u8
河南卫视,http://113.64.146.94:2024/hls/77/index.m3u8
广西卫视,http://113.64.146.94:2024/hls/80/index.m3u8
云南卫视,http://113.64.146.94:2024/hls/86/index.m3u8
海南卫视,http://113.64.146.94:2024/hls/87/index.m3u8
吉林卫视,http://113.64.146.94:2024/hls/89/index.m3u8
广东卫视,http://113.64.146.94:2024/hls/55/index.m3u8
江西卫视,http://113.64.146.94:2024/hls/61/index.m3u8
四川卫视,http://113.64.146.94:2024/hls/65/index.m3u8

安徽卫视,http://goo.bkpcp.top/mg/ahws
辽宁卫视,http://goo.bkpcp.top/mg/lnws
湖南卫视,http://goo.bkpcp.top/mg/hunws
天津卫视,http://goo.bkpcp.top/mg/tjws
山东卫视,http://goo.bkpcp.top/mg/sdws
黑龙江卫视,http://goo.bkpcp.top/mg/hljws
重庆卫视,http://goo.bkpcp.top/mg/cqws
广西卫视,http://goo.bkpcp.top/mg/gxws
东南卫视,http://goo.bkpcp.top/mg/dnws
吉林卫视,http://goo.bkpcp.top/mg/jlws
山西卫视,http://goo.bkpcp.top/mg/sxiws
四川卫视,http://goo.bkpcp.top/mg/scws
贵州卫视,http://goo.bkpcp.top/mg/gzws
内蒙古卫视,http://goo.bkpcp.top/mg/nmgws
西藏卫视,http://goo.bkpcp.top/mg/xzws
厦门卫视,http://goo.bkpcp.top/mg/xmws

北京卫视,http://goo.bkpcp.top/mg/bjws
大湾区卫视,http://goo.bkpcp.top/mg/dwqws
东方卫视,http://goo.bkpcp.top/mg/dfws
甘肃卫视,http://goo.bkpcp.top/mg/gsws
广东卫视,http://goo.bkpcp.top/mg/gdws
海南卫视,http://goo.bkpcp.top/mg/hinws
河北卫视,http://goo.bkpcp.top/mg/hbws
河南卫视,http://goo.bkpcp.top/mg/hnws
湖北卫视,http://goo.bkpcp.top/mg/hubws
江苏卫视,http://goo.bkpcp.top/mg/jsws
江西卫视,http://goo.bkpcp.top/mg/jxws
青海卫视,http://goo.bkpcp.top/mg/qhws
陕西卫视,http://goo.bkpcp.top/mg/sxws
深圳卫视,http://goo.bkpcp.top/mg/szws
新疆卫视,http://goo.bkpcp.top/mg/xjws
云南卫视,http://goo.bkpcp.top/mg/ynws
浙江卫视,http://goo.bkpcp.top/mg/zjws

安徽卫视,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
辽宁卫视,http://iptv.huuc.edu.cn/hls/lnhd.m3u8
北京卫视,http://iptv.huuc.edu.cn/hls/btv1hd.m3u8
湖南卫视,http://iptv.huuc.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
江苏卫视,http://iptv.huuc.edu.cn/hls/jshd.m3u8
东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8
天津卫视,http://iptv.huuc.edu.cn/hls/tjhd.m3u8
山东卫视,http://iptv.huuc.edu.cn/hls/sdhd.m3u8
湖北卫视,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
深圳卫视,http://iptv.huuc.edu.cn/hls/szhd.m3u8
黑龙江卫视,http://iptv.huuc.edu.cn/hls/hljhd.m3u8
广东卫视,http://iptv.huuc.edu.cn/hls/gdhd.m3u8
重庆卫视,http://iptv.huuc.edu.cn/hls/cqhd.m3u8
上海纪实,http://iptv.huuc.edu.cn/hls/docuchina.m3u8
四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8
东南卫视,http://iptv.huuc.edu.cn/hls/dnhd.m3u8
河北卫视,http://iptv.huuc.edu.cn/hls/hebhd.m3u8
江西卫视,http://iptv.huuc.edu.cn/hls/jxhd.m3u8

山东卫视,http://106.111.244.182:60001/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0

安徽卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003873469.m3u8
辽宁卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003873468.m3u8
广东卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003873459.m3u8
浙江卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003873464.m3u8
湖南卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003873458.m3u8
